id,required_skills,candidate_skills,degree,years_experience,overlap,fit,probability,missing_skills
FIT0000,"Docker, Excel, Linux, R, REST, TensorFlow","AWS, Airflow, ETL, Hadoop, TypeScript",Masters,0.9,0.0,0.0,0.237,"Docker, Excel, Linux, R, REST, TensorFlow"
FIT0001,"CI/CD, Docker, Flask, JavaScript, Kubernetes, Node.js, Python, React","Kubernetes, NumPy, Python, Spark",Masters,1.9,2.0,1.0,0.467,"CI/CD, Docker, Flask, JavaScript, Node.js, React"
FIT0002,"Django, Node.js, PyTorch, React, SQL, TensorFlow","Django, Git, Kubernetes, Node.js, NumPy, React, Tableau",Masters,2.5,3.0,1.0,0.585,"PyTorch, SQL, TensorFlow"
FIT0003,"Docker, ETL, Flask, Python, REST, TensorFlow, TypeScript","AWS, Excel, Hadoop, PyTorch, R",Bachelors,2.7,0.0,0.0,0.231,"Docker, ETL, Flask, Python, REST, TensorFlow, TypeScript"
FIT0004,"Airflow, Docker, Kubernetes, Pandas, R","Docker, GraphQL, PyTorch, REST, SQL",Bachelors,4.9,1.0,1.0,0.397,"Airflow, Kubernetes, Pandas, R"
FIT0005,"ETL, Flask, GCP, Git, Java, JavaScript, Scikit-learn","Flask, Kubernetes, REST, Scikit-learn",PhD,2.5,2.0,1.0,0.485,"ETL, GCP, Git, Java, JavaScript"
FIT0006,"Django, ETL, Hadoop, JavaScript, SQL, Spark","AWS, Airflow, Docker, Flask, GCP, Hadoop, Linux, Python",Bachelors,3.2,1.0,1.0,0.346,"Django, ETL, JavaScript, SQL, Spark"
FIT0007,"Excel, Kubernetes, Linux, PyTorch, REST, TypeScript","AWS, Django, Docker, Git, GraphQL, Pandas, PyTorch, React, SQL, Scikit-learn",Bachelors,3.8,1.0,0.0,0.364,"Excel, Kubernetes, Linux, REST, TypeScript"
FIT0008,"Airflow, ETL, GCP, Node.js, Python","AWS, Airflow, R, Spark, TensorFlow, TypeScript",Masters,2.7,1.0,1.0,0.391,"ETL, GCP, Node.js, Python"
FIT0009,"Airflow, Excel, Git, Node.js, Python, TensorFlow","AWS, Airflow, Docker, Java, Kubernetes, Linux, NumPy, Power BI, SQL",Bachelors,2.4,1.0,0.0,0.322,"Excel, Git, Node.js, Python, TensorFlow"
FIT0010,"Docker, Linux, Pandas, R, Tableau","Django, Docker, ETL, Excel, GCP, Git, Python, REST, Tableau",Bachelors,4.5,2.0,0.0,0.485,"Linux, Pandas, R"
